CONTRACT_ID;COLL_STATUS;INSTALLATION_DATE;VOICE_SERVICE_NAME;NET_SERVICE_NAME;SEGMENT_GROUP
1;0;2010-01-07;Üzleti Hang M;Vállalkozók Netje;ENT
2;0;2017-02-27;Üzleti Hang M;Vállalkozók Netje;ENT
3;0;2018-06-07;Lakossági Hang XS;Net 5GB;LAK
4;0;2016-07-16;Üzleti Hang XL;ÜzlNet 2GB;ENT
5;0;2017-07-09;Üzleti Hang M;ÜzlNet 2GB;ENT
6;0;2013-11-07;Üzleti Hang XL;ÜzlNet 2GB;ENT
7;0;2021-03-24;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
8;0;2013-10-29;Üzleti Hang M;Vállalkozók Netje;ENT
9;0;2014-05-05;Üzleti Hang XL;ÜzlNet 2GB;ENT
10;0;2023-05-30;Üzleti Hang M;ÜzlNet Korlátlan;ENT
11;0;2011-06-09;Üzleti Hang S;ÜzlNet 2GB;ENT
12;0;2022-05-03;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
13;0;2021-03-24;Üzleti Hang M;Vállalkozók Netje;ENT
14;0;2018-04-05;Üzleti Hang S;ÜzlNet Korlátlan;ENT
15;0;2013-06-21;Üzleti Hang XL;ÜzlNet 2GB;ENT
16;0;2015-03-09;Lakossági Hang XS;Net 5GB;LAK
17;0;2019-06-30;Lakossági Hang M;Net 5GB;LAK
18;0;2019-06-09;Lakossági Hang XS;Korlátlan Net;LAK
19;0;2010-08-24;Lakossági Hang Korlátlan;Net 5GB;LAK
20;0;2018-01-06;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
21;0;2015-06-21;Üzleti Hang S;ÜzlNet 2GB;ENT
22;0;2016-11-15;Üzleti Hang M;ÜzlNet 2GB;ENT
23;0;2019-12-14;Lakossági Hang XS;Net 3GB;LAK
24;0;2013-06-16;Lakossági Hang XS;Net 5GB;LAK
25;0;2019-07-19;Lakossági Hang M;Net 3GB;LAK
26;0;2017-02-22;Üzleti Hang M;ÜzlNet 2GB;ENT
27;0;2017-12-18;Üzleti Hang S;Vállalkozók Netje;ENT
28;0;2021-08-12;Lakossági Hang XS;Korlátlan Net;LAK
29;0;2011-10-28;Lakossági Hang Korlátlan;Net 3GB;LAK
30;0;2015-12-13;Üzleti Hang S;Vállalkozók Netje;ENT
31;0;2013-12-29;Lakossági Hang Korlátlan;Korlátlan Net;LAK
32;0;2018-01-06;Lakossági Hang M;Net 5GB;LAK
33;0;2022-06-16;Lakossági Hang Korlátlan;Korlátlan Net;LAK
34;0;2015-07-31;Lakossági Hang M;Net 5GB;LAK
35;1;2014-06-13;Lakossági Hang Korlátlan;Net 3GB;LAK
36;0;2010-06-17;Üzleti Hang XL;Vállalkozók Netje;ENT
37;0;2014-01-02;Lakossági Hang Korlátlan;Net 3GB;LAK
38;0;2021-09-07;Lakossági Hang XS;Net 5GB;LAK
39;0;2019-02-13;Lakossági Hang XS;Net 5GB;LAK
