CONTRACT_ID;USED_DEVICE
1;Xiaomi
2;Samsung 
3;iPhone
4;Motorola
5;Xiaomi
6;Huawei 
7;Oppo
8;Huawei 
9;Xiaomi
10;Oppo
11;Motorola
12;iPhone
13;Oppo
14;Motorola
15;Samsung 
16;iPhone
17;Xiaomi
18;Oppo
19;Xiaomi
20;Huawei 
21;Huawei 
22;iPhone
23;Samsung 
24;Huawei 
25;Xiaomi
26;Motorola
27;Oppo
28;Samsung 
29;Motorola
30;Huawei 
31;Oppo
32;iPhone
33;Xiaomi
34;Xiaomi
35;Xiaomi
36;iPhone
37;Oppo
38;Motorola
39;iPhone
40;Samsung 
41;Oppo
42;Huawei 
43;iPhone
44;Samsung 
45;iPhone
46;iPhone
47;Huawei 
48;Motorola
49;iPhone
50;Motorola
51;Samsung 
52;iPhone
53;Xiaomi
54;iPhone
55;Motorola
56;iPhone
57;Huawei 
58;Samsung 
59;Oppo
60;Xiaomi
61;Huawei 
62;Samsung 
63;Samsung 
64;iPhone
65;Oppo
66;iPhone
67;iPhone
68;Samsung 
69;Huawei 
70;Huawei 
71;Huawei 
72;Huawei 
73;Motorola
74;Oppo
75;Motorola
76;Samsung 
77;Oppo
78;Motorola
79;Samsung 
80;Samsung 
81;Motorola
82;Samsung 
83;iPhone
84;Samsung 
85;Samsung 
86;Motorola
87;iPhone
88;Motorola
89;Huawei 
90;Xiaomi
91;Xiaomi
92;Xiaomi
93;iPhone
94;Huawei 
95;Xiaomi
96;Oppo
97;Huawei 
98;Huawei 
99;Huawei 
100;Xiaomi
101;iPhone
102;Xiaomi
103;iPhone
104;Samsung 
105;Huawei 
106;Huawei 
107;Samsung 
108;iPhone
109;iPhone
110;Samsung 
111;Huawei 
112;Huawei 
113;Motorola
114;Samsung 
115;Samsung 
116;Xiaomi
117;Oppo
118;Xiaomi
119;Oppo
120;Xiaomi
121;Samsung 
122;Samsung 
123;Huawei 
124;Samsung 
125;iPhone
126;Oppo
127;Huawei 
128;Xiaomi
129;Motorola
130;Oppo
131;Samsung 
132;Motorola
133;Xiaomi
134;iPhone
135;Oppo
136;Samsung 
137;Samsung 
138;Samsung 
139;Samsung 
140;iPhone
141;Huawei 
142;Motorola
143;Huawei 
144;Oppo
145;iPhone
146;Xiaomi
147;Samsung 
148;Oppo
149;Oppo
150;Samsung 
151;iPhone
152;Oppo
153;Huawei 
154;iPhone
155;Huawei 
156;Oppo
157;Huawei 
158;Oppo
159;Xiaomi
160;Xiaomi
161;Oppo
162;iPhone
163;Xiaomi
164;iPhone
165;Xiaomi
166;Xiaomi
167;Samsung 
168;Xiaomi
169;Xiaomi
170;iPhone
171;Oppo
172;Samsung 
173;Samsung 
174;Oppo
175;Samsung 
176;Oppo
177;Oppo
178;Xiaomi
179;Oppo
180;Xiaomi
181;Huawei 
182;Huawei 
183;Huawei 
184;iPhone
185;Samsung 
186;Samsung 
187;Xiaomi
188;Oppo
189;Xiaomi
190;Xiaomi
191;Motorola
192;Samsung 
193;Oppo
194;Xiaomi
195;Xiaomi
196;Huawei 
197;iPhone
198;Xiaomi
199;Huawei 
200;Huawei 
201;Samsung 
202;Oppo
203;Xiaomi
204;Samsung 
205;Motorola
206;Huawei 
207;Samsung 
208;Oppo
209;Xiaomi
210;Huawei 
211;iPhone
212;Xiaomi
213;Xiaomi
214;iPhone
215;Motorola
216;Xiaomi
217;Motorola
218;Huawei 
219;Samsung 
220;Samsung 
221;iPhone
222;Samsung 
223;Samsung 
224;Motorola
225;Oppo
226;Motorola
227;Samsung 
228;Huawei 
229;iPhone
230;Samsung 
231;Xiaomi
232;Huawei 
233;Oppo
234;iPhone
235;Oppo
236;Oppo
237;Huawei 
238;iPhone
239;Xiaomi
240;Motorola
241;Huawei 
242;iPhone
243;Oppo
244;Huawei 
245;Xiaomi
246;Huawei 
247;Xiaomi
248;Motorola
249;Samsung 
250;Samsung 
251;Huawei 
252;Motorola
253;Huawei 
254;Huawei 
255;Samsung 
256;Huawei 
257;Xiaomi
258;iPhone
259;Samsung 
260;Samsung 
261;Motorola
262;Xiaomi
263;iPhone
264;iPhone
265;Motorola
266;Oppo
267;Oppo
268;Xiaomi
269;iPhone
270;Huawei 
271;Motorola
272;Oppo
273;Motorola
274;Samsung 
275;Samsung 
276;iPhone
277;Oppo
278;Oppo
279;iPhone
280;Motorola
281;Oppo
282;Huawei 
283;Motorola
284;Samsung 
285;Xiaomi
286;Oppo
287;Xiaomi
288;Oppo
289;Samsung 
290;iPhone
291;Samsung 
292;Oppo
293;Oppo
294;Samsung 
295;iPhone
296;Xiaomi
297;Oppo
298;Xiaomi
299;Oppo
300;Oppo
301;iPhone
302;Motorola
303;Motorola
304;Samsung 
305;Xiaomi
306;Huawei 
307;Huawei 
